Local time,Open,High,Low,Close,Volume
09.11.2017 06:00:00.000 GMT-0800,22.902,22.948,22.817,22.848,16.4887
09.11.2017 07:00:00.000 GMT-0800,22.847,22.948,22.788,22.798,28.2323
09.11.2017 08:00:00.000 GMT-0800,22.797,22.908,22.787,22.868,25.9982
09.11.2017 09:00:00.000 GMT-0800,22.878,22.938,22.827,22.887,27.2694
09.11.2017 10:00:00.000 GMT-0800,22.888,22.918,22.827,22.848,21.2473
09.11.2017 11:00:00.000 GMT-0800,22.847,22.858,22.777,22.818,16.983
09.11.2017 12:00:00.000 GMT-0800,22.817,22.888,22.808,22.818,25.272
09.11.2017 13:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 14:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 15:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 16:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 17:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 18:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 19:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 20:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 21:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 22:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
09.11.2017 23:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 00:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 01:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 02:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 03:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 04:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 05:00:00.000 GMT-0800,22.818,22.818,22.818,22.818,0
10.11.2017 06:00:00.000 GMT-0800,22.797,22.868,22.777,22.817,9.7348
10.11.2017 07:00:00.000 GMT-0800,22.827,22.838,22.717,22.718,20.3064
10.11.2017 08:00:00.000 GMT-0800,22.717,22.738,22.497,22.568,24.3755
10.11.2017 09:00:00.000 GMT-0800,22.567,22.598,22.527,22.598,16.8484
10.11.2017 10:00:00.000 GMT-0800,22.598,22.598,22.517,22.538,15.2989
10.11.2017 11:00:00.000 GMT-0800,22.537,22.588,22.498,22.568,13.9229
10.11.2017 12:00:00.000 GMT-0800,22.568,22.598,22.498,22.507,25.1723
10.11.2017 13:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 14:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 15:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 16:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 17:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 18:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 19:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 20:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 21:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
10.11.2017 22:00:00.000 GMT-0800,22.507,22.507,22.507,22.507,0
