Local time,Open,High,Low,Close,Volume
09.11.2017 06:00:00.000 GMT-0800,257.707,258.068,257.428,257.747,20.6806
09.11.2017 07:00:00.000 GMT-0800,257.748,258.378,257.747,258.358,28.3004
09.11.2017 08:00:00.000 GMT-0800,258.348,258.368,257.047,257.347,30.6762
09.11.2017 09:00:00.000 GMT-0800,257.348,257.348,256.357,257.028,40.6886
09.11.2017 10:00:00.000 GMT-0800,257.027,257.638,256.767,257.538,27.1997
09.11.2017 11:00:00.000 GMT-0800,257.538,257.878,257.517,257.648,21.4025
09.11.2017 12:00:00.000 GMT-0800,257.648,258.368,257.577,258.178,24.6559
09.11.2017 13:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 14:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 15:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 16:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 17:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 18:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 19:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 20:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 21:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 22:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 23:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 00:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 01:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 02:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 03:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 04:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 05:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 06:00:00.000 GMT-0800,257.717,257.948,257.567,257.708,16.7412
10.11.2017 07:00:00.000 GMT-0800,257.708,257.918,257.357,257.728,27.9132
10.11.2017 08:00:00.000 GMT-0800,257.747,257.847,257.497,257.827,20.8481
10.11.2017 09:00:00.000 GMT-0800,257.828,257.967,257.677,257.698,15.2458
10.11.2017 10:00:00.000 GMT-0800,257.697,257.908,257.627,257.818,13.9955
10.11.2017 11:00:00.000 GMT-0800,257.818,258.178,257.818,258.148,15.65
10.11.2017 12:00:00.000 GMT-0800,258.138,258.198,258.007,258.067,17.1801
10.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 06:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 07:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 08:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 09:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 10:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 11:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 12:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 06:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 07:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 08:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 09:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 10:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 11:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 12:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 06:00:00.000 GMT-0800,257.287,257.838,257.257,257.818,13.0769
13.11.2017 07:00:00.000 GMT-0800,257.807,258.238,257.807,258.057,23.1685
13.11.2017 08:00:00.000 GMT-0800,258.058,258.298,257.987,258.267,18.5855
13.11.2017 09:00:00.000 GMT-0800,258.268,258.348,258.167,258.248,11.9765
13.11.2017 10:00:00.000 GMT-0800,258.247,258.368,258.097,258.328,10.8664
13.11.2017 11:00:00.000 GMT-0800,258.327,258.408,258.287,258.338,11.2548
13.11.2017 12:00:00.000 GMT-0800,258.337,258.578,258.127,258.338,17.0224
13.11.2017 13:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 14:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 15:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 16:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 17:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 18:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 19:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 20:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 21:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 22:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
13.11.2017 23:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 00:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 01:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 02:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 03:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 04:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 05:00:00.000 GMT-0800,258.338,258.338,258.338,258.338,0
14.11.2017 06:00:00.000 GMT-0800,257.387,257.658,257.167,257.227,16.4138
14.11.2017 07:00:00.000 GMT-0800,257.228,257.847,256.517,257.687,30.4333
14.11.2017 08:00:00.000 GMT-0800,257.688,257.778,257.467,257.728,21.5918
14.11.2017 09:00:00.000 GMT-0800,257.727,257.828,257.147,257.308,18.0509
14.11.2017 10:00:00.000 GMT-0800,257.298,257.648,257.087,257.507,19.1801
14.11.2017 11:00:00.000 GMT-0800,257.508,257.718,257.438,257.668,15.8132
14.11.2017 12:00:00.000 GMT-0800,257.667,257.808,257.447,257.738,21.3168
14.11.2017 13:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 14:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 15:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 16:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 17:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 18:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 19:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 20:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 21:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 22:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
14.11.2017 23:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 00:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 01:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 02:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 03:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 04:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 05:00:00.000 GMT-0800,257.738,257.738,257.738,257.738,0
15.11.2017 06:00:00.000 GMT-0800,256.658,256.678,255.637,255.908,23.2898
15.11.2017 07:00:00.000 GMT-0800,255.908,256.907,255.838,256.907,31.1364
15.11.2017 08:00:00.000 GMT-0800,256.908,257.208,256.807,257.008,25.0265
15.11.2017 09:00:00.000 GMT-0800,257.017,257.018,256.658,256.937,17.6737
15.11.2017 10:00:00.000 GMT-0800,256.938,256.938,256.587,256.618,17.0822
15.11.2017 11:00:00.000 GMT-0800,256.627,256.857,256.507,256.788,16.2542
15.11.2017 12:00:00.000 GMT-0800,256.787,257.008,256.247,256.418,28.0239
15.11.2017 13:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 14:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 15:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 16:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 17:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 18:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 19:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 20:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 21:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 22:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
15.11.2017 23:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 00:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 01:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 02:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 03:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 04:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 05:00:00.000 GMT-0800,256.418,256.418,256.418,256.418,0
16.11.2017 06:00:00.000 GMT-0800,257.478,257.838,257.468,257.637,14.1482
16.11.2017 07:00:00.000 GMT-0800,257.638,258.468,257.637,258.338,21.8818
16.11.2017 08:00:00.000 GMT-0800,258.337,258.518,258.217,258.488,15.9132
16.11.2017 09:00:00.000 GMT-0800,258.487,258.818,258.487,258.727,13.9593
16.11.2017 10:00:00.000 GMT-0800,258.728,258.878,258.647,258.797,14.5704
16.11.2017 11:00:00.000 GMT-0800,258.788,259.028,258.727,258.747,15.3995
16.11.2017 12:00:00.000 GMT-0800,258.748,258.787,258.517,258.588,23.9027
16.11.2017 13:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 14:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 15:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 16:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 17:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 18:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 19:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 20:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 21:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 22:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
16.11.2017 23:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 00:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 01:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 02:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 03:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 04:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 05:00:00.000 GMT-0800,258.588,258.588,258.588,258.588,0
17.11.2017 06:00:00.000 GMT-0800,258.208,258.318,257.968,258.268,15.9944
17.11.2017 07:00:00.000 GMT-0800,258.278,258.428,258.027,258.248,19.6076
17.11.2017 08:00:00.000 GMT-0800,258.238,258.278,257.888,258.218,21.4132
17.11.2017 09:00:00.000 GMT-0800,258.217,258.348,258.087,258.288,14.5033
17.11.2017 10:00:00.000 GMT-0800,258.287,258.318,258.078,258.208,11.4904
17.11.2017 11:00:00.000 GMT-0800,258.207,258.268,258.037,258.197,11.8029
17.11.2017 12:00:00.000 GMT-0800,258.198,258.198,257.767,257.877,23.339
17.11.2017 13:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 14:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 15:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 16:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 17:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 18:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 19:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 20:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 21:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 22:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
17.11.2017 23:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 00:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 01:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 02:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 03:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 04:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 05:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 06:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 07:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 08:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 09:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 10:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 11:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 12:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 13:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 14:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 15:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 16:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 17:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 18:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 19:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 20:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 21:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 22:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
18.11.2017 23:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
19.11.2017 00:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
19.11.2017 01:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
19.11.2017 02:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
19.11.2017 03:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
19.11.2017 04:00:00.000 GMT-0800,257.877,257.877,257.877,257.877,0
